Node_no.,x_coor,y_coor,u_x,u_y,u_x_low,u_y_low,u_x_high,u_y_high
1,0.0,0.0,0.0,0.0,1.2487173080444336e-05,1.0726973414421082e-05,-0.0001173168420791626,4.5299530029296875e-06
2,1.0,0.0,0.0,0.0,-1.0110437870025635e-05,-1.1436641216278076e-06,1.4454126358032227e-05,0.0002352595329284668
3,1.0,1.0,0.0,0.0,1.4513731002807617e-05,1.301988959312439e-05,-0.00022411346435546875,0.00023728609085083008
4,0.0,1.0,0.0,0.0,7.621943950653076e-06,-1.1643394827842712e-05,0.00018399953842163086,7.146596908569336e-05
5,0.0294117647058823,0.0,0.0,0.0,1.198798418045044e-05,1.0289251804351807e-05,-0.0001090317964553833,-7.092952728271484e-06
6,0.0588235294117647,0.0,0.0,0.0,1.1399388313293457e-05,9.78820025920868e-06,-0.00010153651237487793,-1.8775463104248047e-05
7,0.0882352941176471,0.0,0.0,0.0,1.0892748832702637e-05,9.333714842796326e-06,-9.375810623168945e-05,-2.771615982055664e-05
8,0.1176470588235295,0.0,0.0,0.0,1.0266900062561035e-05,8.881092071533203e-06,-8.592009544372559e-05,-3.74913215637207e-05
9,0.1470588235294119,0.0,0.0,0.0,9.663403034210205e-06,8.450821042060852e-06,-7.934868335723877e-05,-4.4345855712890625e-05
10,0.1764705882352943,0.0,0.0,0.0,9.015202522277832e-06,7.988885045051575e-06,-7.249414920806885e-05,-5.072355270385742e-05
11,0.2058823529411766,0.0,0.0,0.0,8.448958396911621e-06,7.538124918937683e-06,-6.611645221710205e-05,-5.6684017181396484e-05
12,0.235294117647059,0.0,0.0,0.0,7.949769496917725e-06,7.091090083122253e-06,-5.950033664703369e-05,-6.0558319091796875e-05
13,0.2647058823529414,0.0,0.0,0.0,7.271766662597656e-06,6.677582859992981e-06,-5.385279655456543e-05,-6.35981559753418e-05
14,0.2941176470588239,0.0,0.0,0.0,6.631016731262207e-06,6.230548024177551e-06,-4.766881465911865e-05,-6.508827209472656e-05
15,0.3235294117647064,0.0,0.0,0.0,6.087124347686768e-06,5.869194865226746e-06,-4.285573959350586e-05,-6.598234176635742e-05
16,0.3529411764705888,0.0,0.0,0.0,5.4389238357543945e-06,5.4817646741867065e-06,-3.679096698760986e-05,-6.526708602905273e-05
17,0.3823529411764713,0.0,0.0,0.0,4.857778549194336e-06,5.09992241859436e-06,-3.2082200050354004e-05,-6.42538070678711e-05
18,0.4117647058823538,0.0,0.0,0.0,4.172325134277344e-06,4.718080163002014e-06,-2.7194619178771973e-05,-6.097555160522461e-05
19,0.4411764705882362,0.0,0.0,0.0,3.4794211387634277e-06,4.317611455917358e-06,-2.2292137145996094e-05,-5.7637691497802734e-05
20,0.4705882352941187,0.0,0.0,0.0,2.853572368621826e-06,3.98978590965271e-06,-1.8581748008728027e-05,-5.1856040954589844e-05
21,0.5000000000000011,0.0,0.0,0.0,2.212822437286377e-06,3.632158041000366e-06,-1.4841556549072266e-05,-4.589557647705078e-05
22,0.5294117647058832,0.0,0.0,0.0,1.55717134475708e-06,3.2689422369003296e-06,-1.0967254638671875e-05,-3.7550926208496094e-05
23,0.5588235294117656,0.0,0.0,0.0,8.493661880493164e-07,2.956017851829529e-06,-7.212162017822266e-06,-3.045797348022461e-05
24,0.5882352941176479,0.0,0.0,0.0,1.7881393432617188e-07,2.6207417249679565e-06,-4.217028617858887e-06,-2.0742416381835938e-05
25,0.6176470588235301,0.0,0.0,0.0,-5.513429641723633e-07,2.2780150175094604e-06,-1.564621925354004e-06,-8.940696716308594e-06
26,0.6470588235294124,0.0,0.0,0.0,-1.2665987014770508e-06,1.959502696990967e-06,1.5497207641601562e-06,1.6689300537109375e-06
27,0.6764705882352946,0.0,0.0,0.0,-1.8849968910217285e-06,1.6745179891586304e-06,4.157423973083496e-06,1.4960765838623047e-05
28,0.7058823529411768,0.0,0.0,0.0,-2.600252628326416e-06,1.3653188943862915e-06,5.97536563873291e-06,3.0040740966796875e-05
29,0.7352941176470592,0.0,0.0,0.0,-3.3602118492126465e-06,1.0915100574493408e-06,8.314847946166992e-06,4.464387893676758e-05
30,0.7647058823529413,0.0,0.0,0.0,-4.045665264129639e-06,7.972121238708496e-07,9.685754776000977e-06,6.091594696044922e-05
31,0.7941176470588236,0.0,0.0,0.0,-4.857778549194336e-06,5.21540641784668e-07,1.1548399925231934e-05,7.838010787963867e-05
32,0.823529411764706,0.0,0.0,0.0,-5.550682544708252e-06,3.073364496231079e-07,1.2427568435668945e-05,9.882450103759766e-05
33,0.8529411764705882,0.0,0.0,0.0,-6.355345249176025e-06,2.2351741790771484e-08,1.3560056686401367e-05,0.00011819601058959961
34,0.8823529411764703,0.0,0.0,0.0,-7.040798664093018e-06,-2.2910535335540771e-07,1.4230608940124512e-05,0.0001392364501953125
35,0.9117647058823528,0.0,0.0,0.0,-7.88271427154541e-06,-4.824250936508179e-07,1.430511474609375e-05,0.0001621842384338379
36,0.941176470588235,0.0,0.0,0.0,-8.627772331237793e-06,-6.92903995513916e-07,1.4901161193847656e-05,0.0001850128173828125
37,0.9705882352941172,0.0,0.0,0.0,-9.410083293914795e-06,-9.238719940185547e-07,1.4603137969970703e-05,0.0002104043960571289
38,1.0,0.0294117647058823,0.0,0.0,-1.033395528793335e-05,-7.841736078262329e-07,1.5720725059509277e-05,0.00022786855697631836
39,1.0,0.0588235294117647,0.0,0.0,-1.0170042514801025e-05,-3.986060619354248e-07,1.6927719116210938e-05,0.00022107362747192383
40,1.0,0.0882352941176471,0.0,0.0,-1.017749309539795e-05,-9.872019290924072e-08,1.7255544662475586e-05,0.000213623046875
41,1.0,0.1176470588235295,0.0,0.0,-1.0073184967041016e-05,2.849847078323364e-07,1.7523765563964844e-05,0.00020772218704223633
42,1.0,0.1470588235294119,0.0,0.0,-9.94652509689331e-06,6.705522537231445e-07,1.671910285949707e-05,0.00020170211791992188
43,1.0,0.1764705882352943,0.0,0.0,-9.73045825958252e-06,1.0188668966293335e-06,1.576542854309082e-05,0.0001957416534423828
44,1.0,0.2058823529411766,0.0,0.0,-9.521842002868652e-06,1.4137476682662964e-06,1.36643648147583e-05,0.00019097328186035156
45,1.0,0.235294117647059,0.0,0.0,-9.179115295410156e-06,1.7955899238586426e-06,1.2174248695373535e-05,0.00018703937530517578
46,1.0,0.2647058823529414,0.0,0.0,-8.881092071533203e-06,2.168118953704834e-06,9.655952453613281e-06,0.00018256902694702148
47,1.0,0.2941176470588239,0.0,0.0,-8.501112461090088e-06,2.564862370491028e-06,6.243586540222168e-06,0.00017881393432617188
48,1.0,0.3235294117647064,0.0,0.0,-7.994472980499268e-06,2.9616057872772217e-06,2.2351741790771484e-06,0.0001760721206665039
49,1.0,0.3529411764705888,0.0,0.0,-7.577240467071533e-06,3.3583492040634155e-06,-1.7881393432617188e-06,0.00017380714416503906
50,1.0,0.3823529411764713,0.0,0.0,-7.033348083496094e-06,3.7532299757003784e-06,-6.362795829772949e-06,0.00017154216766357422
51,1.0,0.4117647058823538,0.0,0.0,-6.511807441711426e-06,4.1387975215911865e-06,-1.1965632438659668e-05,0.00017017126083374023
52,1.0,0.4411764705882362,0.0,0.0,-5.8710575103759766e-06,4.5727938413619995e-06,-1.7434358596801758e-05,0.00016897916793823242
53,1.0,0.4705882352941187,0.0,0.0,-5.200505256652832e-06,4.945322871208191e-06,-2.397596836090088e-05,0.00016838312149047852
54,1.0,0.5000000000000011,0.0,0.0,-4.544854164123535e-06,5.3942203521728516e-06,-2.9996037483215332e-05,0.00016760826110839844
55,1.0,0.5294117647058832,0.0,0.0,-3.7550926208496094e-06,5.804002285003662e-06,-3.71783971786499e-05,0.00016772747039794922
56,1.0,0.5588235294117656,0.0,0.0,-2.9355287551879883e-06,6.236135959625244e-06,-4.538893699645996e-05,0.00016945600509643555
57,1.0,0.5882352941176479,0.0,0.0,-2.1383166313171387e-06,6.6570937633514404e-06,-5.3569674491882324e-05,0.00017011165618896484
58,1.0,0.6176470588235301,0.0,0.0,-1.2367963790893555e-06,7.06501305103302e-06,-6.26593828201294e-05,0.0001722574234008789
59,1.0,0.6470588235294124,0.0,0.0,-3.725290298461914e-07,7.510185241699219e-06,-7.209181785583496e-05,0.00017470121383666992
60,1.0,0.6764705882352946,0.0,0.0,7.748603820800781e-07,7.95908272266388e-06,-8.159875869750977e-05,0.0001761317253112793
61,1.0,0.7058823529411768,0.0,0.0,1.6391277313232422e-06,8.400529623031616e-06,-9.241700172424316e-05,0.0001798868179321289
62,1.0,0.7352941176470592,0.0,0.0,2.7120113372802734e-06,8.825212717056274e-06,-0.00010249018669128418,0.00018286705017089844
63,1.0,0.7647058823529413,0.0,0.0,3.926455974578857e-06,9.279698133468628e-06,-0.00011375546455383301,0.00018745660781860352
64,1.0,0.7941176470588236,0.0,0.0,5.036592483520508e-06,9.73232090473175e-06,-0.00012606382369995117,0.0001919865608215332
65,1.0,0.823529411764706,0.0,0.0,6.2212347984313965e-06,1.0211020708084106e-05,-0.00013807415962219238,0.0001971125602722168
66,1.0,0.8529411764705882,0.0,0.0,7.502734661102295e-06,1.0648742318153381e-05,-0.00015112757682800293,0.00020229816436767578
67,1.0,0.8823529411764703,0.0,0.0,8.754432201385498e-06,1.1108815670013428e-05,-0.00016508996486663818,0.0002084970474243164
68,1.0,0.9117647058823528,0.0,0.0,1.0065734386444092e-05,1.1553987860679626e-05,-0.000178605318069458,0.0002149343490600586
69,1.0,0.941176470588235,0.0,0.0,1.1533498764038086e-05,1.204758882522583e-05,-0.00019343197345733643,0.00022161006927490234
70,1.0,0.9705882352941172,0.0,0.0,1.3053417205810547e-05,1.253373920917511e-05,-0.00020788609981536865,0.00022923946380615234
71,0.9705882352941176,1.0,0.0,0.0,1.4379620552062988e-05,1.2150034308433533e-05,-0.00020729005336761475,0.00021445751190185547
72,0.9411764705882352,1.0,0.0,0.0,1.4252960681915283e-05,1.1263415217399597e-05,-0.00019150972366333008,0.00019061565399169922
73,0.9117647058823528,1.0,0.0,0.0,1.424551010131836e-05,1.0415911674499512e-05,-0.0001757591962814331,0.00016868114471435547
74,0.8823529411764705,1.0,0.0,0.0,1.4074146747589111e-05,9.59634780883789e-06,-0.00016012787818908691,0.00014835596084594727
75,0.8529411764705881,1.0,0.0,0.0,1.3984739780426025e-05,8.77678394317627e-06,-0.00014522671699523926,0.00012874603271484375
76,0.8235294117647057,1.0,0.0,0.0,1.3880431652069092e-05,7.96094536781311e-06,-0.00013034045696258545,0.00011163949966430664
77,0.7941176470588234,1.0,0.0,0.0,1.3738870620727539e-05,7.1283429861068726e-06,-0.00011573731899261475,9.506940841674805e-05
78,0.7647058823529409,1.0,0.0,0.0,1.3582408428192139e-05,6.319954991340637e-06,-0.00010161101818084717,7.873773574829102e-05
79,0.7352941176470585,1.0,0.0,0.0,1.3440847396850586e-05,5.558133125305176e-06,-8.738040924072266e-05,6.389617919921875e-05
80,0.7058823529411761,1.0,0.0,0.0,1.3366341590881348e-05,4.727393388748169e-06,-7.246434688568115e-05,5.048513412475586e-05
81,0.6764705882352935,1.0,0.0,0.0,1.3142824172973633e-05,3.997236490249634e-06,-5.932152271270752e-05,3.814697265625e-05
82,0.6470588235294111,1.0,0.0,0.0,1.3016164302825928e-05,3.203749656677246e-06,-4.6059489250183105e-05,2.658367156982422e-05
83,0.6176470588235287,1.0,0.0,0.0,1.2762844562530518e-05,2.425163984298706e-06,-3.2961368560791016e-05,1.6570091247558594e-05
84,0.5882352941176462,1.0,0.0,0.0,1.2703239917755127e-05,1.6596168279647827e-06,-2.0518898963928223e-05,7.62939453125e-06
85,0.5588235294117638,1.0,0.0,0.0,1.2502074241638184e-05,9.387731552124023e-07,-7.4803829193115234e-06,-4.76837158203125e-07
86,0.5294117647058814,1.0,0.0,0.0,1.2293457984924316e-05,2.1979212760925293e-07,4.693865776062012e-06,-6.198883056640625e-06
87,0.4999999999999989,1.0,0.0,0.0,1.210719347000122e-05,-5.289912223815918e-07,1.6376376152038574e-05,-1.150369644165039e-05
88,0.4705882352941167,1.0,0.0,0.0,1.1913478374481201e-05,-1.2330710887908936e-06,2.917647361755371e-05,-1.6570091247558594e-05
89,0.4411764705882344,1.0,0.0,0.0,1.1630356311798096e-05,-1.9688159227371216e-06,4.0784478187561035e-05,-1.9729137420654297e-05
90,0.4117647058823521,1.0,0.0,0.0,1.1451542377471924e-05,-2.6971101760864258e-06,5.1721930503845215e-05,-2.092123031616211e-05
91,0.3823529411764699,1.0,0.0,0.0,1.1183321475982666e-05,-3.3508986234664917e-06,6.313621997833252e-05,-2.193450927734375e-05
92,0.3529411764705876,1.0,0.0,0.0,1.1064112186431885e-05,-4.066154360771179e-06,7.389485836029053e-05,-2.193450927734375e-05
93,0.3235294117647054,1.0,0.0,0.0,1.0721385478973389e-05,-4.716217517852783e-06,8.472800254821777e-05,-2.104043960571289e-05
94,0.2941176470588231,1.0,0.0,0.0,1.0527670383453369e-05,-5.3942203521728516e-06,9.43988561630249e-05,-1.817941665649414e-05
95,0.2647058823529408,1.0,0.0,0.0,1.0259449481964111e-05,-6.031244993209839e-06,0.00010475516319274902,-1.3947486877441406e-05
96,0.2352941176470586,1.0,0.0,0.0,9.998679161071777e-06,-6.701797246932983e-06,0.00011445581912994385,-8.58306884765625e-06
97,0.2058823529411764,1.0,0.0,0.0,9.775161743164062e-06,-7.366761565208435e-06,0.00012467801570892334,-2.9206275939941406e-06
98,0.176470588235294,1.0,0.0,0.0,9.424984455108643e-06,-7.992610335350037e-06,0.00013378262519836426,3.4570693969726562e-06
99,0.1470588235294118,1.0,0.0,0.0,9.164214134216309e-06,-8.66129994392395e-06,0.00014260411262512207,1.2099742889404297e-05
100,0.1176470588235296,1.0,0.0,0.0,8.851289749145508e-06,-9.26479697227478e-06,0.0001512765884399414,2.2113323211669922e-05
101,0.0882352941176473,1.0,0.0,0.0,8.560717105865479e-06,-9.825453162193298e-06,0.0001599639654159546,3.236532211303711e-05
102,0.058823529411765,1.0,0.0,0.0,8.344650268554688e-06,-1.0462477803230286e-05,0.00016829371452331543,4.38690185546875e-05
103,0.0294117647058826,1.0,0.0,0.0,7.912516593933105e-06,-1.1079013347625732e-05,0.0001764148473739624,5.7637691497802734e-05
104,0.0,0.9705882352941176,0.0,0.0,7.010996341705322e-06,-1.1038035154342651e-05,0.00018380582332611084,6.151199340820312e-05
105,0.0,0.9411764705882352,0.0,0.0,6.5267086029052734e-06,-1.0486692190170288e-05,0.0001827925443649292,5.316734313964844e-05
106,0.0,0.9117647058823528,0.0,0.0,5.97536563873291e-06,-9.84780490398407e-06,0.00018155574798583984,4.398822784423828e-05
107,0.0,0.8823529411764705,0.0,0.0,5.491077899932861e-06,-9.227544069290161e-06,0.00017938017845153809,3.552436828613281e-05
108,0.0,0.8529411764705881,0.0,0.0,5.058944225311279e-06,-8.637085556983948e-06,0.0001774430274963379,2.7120113372802734e-05
109,0.0,0.8235294117647057,0.0,0.0,4.664063453674316e-06,-8.024275302886963e-06,0.0001736283302307129,1.990795135498047e-05
110,0.0,0.7941176470588234,0.0,0.0,4.343688488006592e-06,-7.374212145805359e-06,0.00017042458057403564,1.2814998626708984e-05
111,0.0,0.7647058823529409,0.0,0.0,3.986060619354248e-06,-6.800517439842224e-06,0.00016699731349945068,6.377696990966797e-06
112,0.0,0.7352941176470585,0.0,0.0,3.7476420402526855e-06,-6.161630153656006e-06,0.00016179680824279785,-4.76837158203125e-07
113,0.0,0.7058823529411761,0.0,0.0,3.606081008911133e-06,-5.515292286872864e-06,0.00015735626220703125,-5.4836273193359375e-06
114,0.0,0.6764705882352935,0.0,0.0,3.375113010406494e-06,-4.8764050006866455e-06,0.00015120208263397217,-1.0907649993896484e-05
115,0.0,0.6470588235294111,0.0,0.0,3.2633543014526367e-06,-4.256144165992737e-06,0.00014562904834747314,-1.5020370483398438e-05
116,0.0,0.6176470588235287,0.0,0.0,3.285706043243408e-06,-3.6191195249557495e-06,0.0001392364501953125,-1.8477439880371094e-05
117,0.0,0.5882352941176462,0.0,0.0,3.21120023727417e-06,-2.942979335784912e-06,0.00013218820095062256,-2.3424625396728516e-05
118,0.0,0.5588235294117638,0.0,0.0,3.2335519790649414e-06,-2.2836029529571533e-06,0.00012475252151489258,-2.574920654296875e-05
119,0.0,0.5294117647058814,0.0,0.0,3.3974647521972656e-06,-1.6521662473678589e-06,0.00011597573757171631,-2.849102020263672e-05
120,0.0,0.4999999999999989,0.0,0.0,3.46451997756958e-06,-1.037493348121643e-06,0.00010757148265838623,-3.0934810638427734e-05
121,0.0,0.4705882352941167,0.0,0.0,3.598630428314209e-06,-2.9616057872772217e-07,9.903311729431152e-05,-3.248453140258789e-05
122,0.0,0.4411764705882344,0.0,0.0,3.769993782043457e-06,3.3527612686157227e-07,8.925795555114746e-05,-3.3795833587646484e-05
